Name,Name Translation,Category,Genre (Google Play),Handle,Downloads,Developer,Exodus Privacy Report URL,Google Play URL,VirusTotal Report URL,Version (latest available),Checksum (latest available),Developer Email,Developer Website,Developer Privacy Policy,Google Play Status,Last Checked,Exponea (Infinario),Fysical (BeaconsInSpace),GeoUniq (Cloud4Wi),OneAudience,Opensignal,Placed (Foursquare),Predicio,Quadrant,Sense360,SignalFrame (Wireless Registry),Sygic,X-Mode
Calculator Vault - Ad free,,Utility,,calculator.vault.com,10000,,https://reports.exodus-privacy.eu.org/en/reports/calculator.vault.com/latest/ ,https://play.google.com/store/apps/details?id=calculator.vault.com,https://www.virustotal.com/gui/file/5f759f722c1e228bf7de5f0c0f6b1cf3fa74eb82754d36ecb112e83fa6309895/detection,1.4,5f759f722c1e228bf7de5f0c0f6b1cf3fa74eb82754d36ecb112e83fa6309895,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
ai.type Free Emoji Keyboard ,,Keyboard,,com.aitype.android,10000000,"Noam Rotem, R&D, A.I.type",https://reports.exodus-privacy.eu.org/en/reports/com.aitype.android/latest/ ,https://play.google.com/store/apps/details?id=com.aitype.android,https://www.virustotal.com/gui/file/bd76a3bb3774b92ea1984cfb0c6e7de8afe89f09b33bfba98f877d0fa4224169/detection,Free-9.5.9.9,bd76a3bb3774b92ea1984cfb0c6e7de8afe89f09b33bfba98f877d0fa4224169,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,SignalFrame (Wireless Registry),,
AP ,,Entertainment,,com.animeprimeapp.app,,,https://reports.exodus-privacy.eu.org/en/reports/com.animeprimeapp.app/latest/ ,https://play.google.com/store/apps/details?id=com.animeprimeapp.app,https://www.virustotal.com/gui/file/f011b55d84ba7399f483eaa421d293e6711c9a0c0beaa6b3e9d0d4430ef93052/detection,1.9.888,f011b55d84ba7399f483eaa421d293e6711c9a0c0beaa6b3e9d0d4430ef93052,,,,Not Found,2021-01-20,,,,,Opensignal,,,,,,,
PowerVocab Word Game ,,Game,,com.applimobile.powervocab,10000,Xomian technologies LLC,https://reports.exodus-privacy.eu.org/en/reports/com.applimobile.powervocab/latest/ ,https://play.google.com/store/apps/details?id=com.applimobile.powervocab,https://www.virustotal.com/gui/file/06d9684376f166c7c1299a873611547cc7ee60eb0aab20f180c33528ac535fa9/detection,1.0.2,06d9684376f166c7c1299a873611547cc7ee60eb0aab20f180c33528ac535fa9,,,,Not Found,2021-01-20,,,,,,,,,,,,X-Mode
Radio España ,,Radio,,com.appmind.radios.es,1000000,"AppMind - Radio FM, Radio Online, Music and News",https://reports.exodus-privacy.eu.org/en/reports/com.appmind.radios.es/latest/ ,https://play.google.com/store/apps/details?id=com.appmind.radios.es,https://www.virustotal.com/gui/file/6d46554c924268dce1c0a771ad275717b07db263d30a1616bad5884cff5ab697/detection,2.3.42,6d46554c924268dce1c0a771ad275717b07db263d30a1616bad5884cff5ab697,,,,Not Found,2021-01-20,,,,,,,,,,,,X-Mode
Super Pico Player ,,Game,,com.asix.picoplayer,,"Jeffrey Willis, Indie, Asentrix Studios",https://reports.exodus-privacy.eu.org/en/reports/com.asix.picoplayer/latest/ ,https://play.google.com/store/apps/details?id=com.asix.picoplayer,https://www.virustotal.com/gui/file/c985949e1c3c9fd889dbe1df27acbb410da307bcbe74ac37ca4a05d665b454d0/detection,Beta 4,c985949e1c3c9fd889dbe1df27acbb410da307bcbe74ac37ca4a05d665b454d0,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
English News in Levels,,News,,com.awesometap.ant,100000,News in Levels ,https://reports.exodus-privacy.eu.org/en/reports/com.awesometap.ant/latest/ ,https://play.google.com/store/apps/details?id=com.awesometap.ant,https://www.virustotal.com/gui/file/7258f1879e15b0765245f6543e5217adf5873d4b8c8cd323400b1e2a7d91ebfa/detection,2.10.0,7258f1879e15b0765245f6543e5217adf5873d4b8c8cd323400b1e2a7d91ebfa,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
Zorro Browser ,,Browser,,com.bharatbrowser91,100,R Tech Solutions,https://reports.exodus-privacy.eu.org/en/reports/com.bharatbrowser91/latest/ ,https://play.google.com/store/apps/details?id=com.bharatbrowser91,https://www.virustotal.com/gui/file/87738c3d3666ad79081cd432ed2a2e444dba1991c6e61132a66e11d5c7a0022f/detection,2.1,87738c3d3666ad79081cd432ed2a2e444dba1991c6e61132a66e11d5c7a0022f,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,SignalFrame (Wireless Registry),,
حلويات مغربية ,,Religious,,com.bladi4you.halawiyat.maghribia,,,https://reports.exodus-privacy.eu.org/en/reports/com.bladi4you.halawiyat.maghribia/latest/ ,https://play.google.com/store/apps/details?id=com.bladi4you.halawiyat.maghribia,https://www.virustotal.com/gui/file/6b722e12e18cf3d308b6470b3cdad51a3b2ce9d9c00682125081f1907fe9297d/detection,1,6b722e12e18cf3d308b6470b3cdad51a3b2ce9d9c00682125081f1907fe9297d,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
Browser Android ,,Browser,,com.BrowserAndroid,,animeipics@gmail.com,https://reports.exodus-privacy.eu.org/en/reports/com.BrowserAndroid/latest/ ,https://play.google.com/store/apps/details?id=com.BrowserAndroid,https://www.virustotal.com/gui/file/d79ec6b7287165e8e5febb66a72903bca33ce964db5ee5759588f23397ac0715/detection,0.5,d79ec6b7287165e8e5febb66a72903bca33ce964db5ee5759588f23397ac0715,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
ChatterBox ,,Video,,com.chatterbox_by_pk2_,1000,Pavan Kalyan Neerukonda ,https://reports.exodus-privacy.eu.org/en/reports/com.chatterbox_by_pk2/latest/ ,https://play.google.com/store/apps/details?id=com.chatterbox_by_pk2,https://www.virustotal.com/gui/file/50a63da09a3f0b6779d05411f00a76df17631c4eff18db456d094a1587a149e5/detection,2.1,50a63da09a3f0b6779d05411f00a76df17631c4eff18db456d094a1587a149e5,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
Offline Maps and Route Finder - Offline GPS,,Navigation,,com.direction.offlinenavigation.offlinegps.offline.maps,100000,offlinemapspro ,https://reports.exodus-privacy.eu.org/en/reports/com.direction.offlinenavigation.offlinegps.offline.maps/latest/ ,https://play.google.com/store/apps/details?id=com.direction.offlinenavigation.offlinegps.offline.maps,Not Found,1.6.88,c9592fb8a253721cf919dd0528dab43a8e9551297666434621b583567a051c63,,,,Not Found,2021-01-20,Exponea (Infinario),,,,,,,,,,Sygic,
"FireFly Browser - Fast, Private & Secure ",,Browser,,com.FFBrowser.indiappstudio,1000,IndiApp Studio Inc.,https://reports.exodus-privacy.eu.org/en/reports/com.FFBrowser.indiappstudio/latest/ ,https://play.google.com/store/apps/details?id=com.FFBrowser.indiappstudio,https://www.virustotal.com/gui/file/d7aef999f29cf80c20b116171379a6b81c575dee5665738be808ea1b46123256/detection,1.2,d7aef999f29cf80c20b116171379a6b81c575dee5665738be808ea1b46123256,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
4shared,,Filesharing,,com.forshared,1000000,New IT Solutions,https://reports.exodus-privacy.eu.org/en/reports/com.forshared/latest/ ,https://play.google.com/store/apps/details?id=com.forshared,https://www.virustotal.com/gui/file/90f1a1604379fdb929c75915c6e29e0cb9fc17a6aacfaef52b69a42f106fa53a/detection,3.88.0,90f1a1604379fdb929c75915c6e29e0cb9fc17a6aacfaef52b69a42f106fa53a,,,,Not Found,2021-01-20,,,,OneAudience,Opensignal,,Predicio,,,SignalFrame (Wireless Registry),,X-Mode
GIF for Instagram Story - Popular Gifs to share ,,Social,,com.fungifs.populargifs,10000,Furkanmobiles ,https://reports.exodus-privacy.eu.org/en/reports/com.fungifs.populargifs/latest/ ,https://play.google.com/store/apps/details?id=com.fungifs.populargifs,https://www.virustotal.com/gui/file/d82815b9c57a11199d601f146fb7534134cd28331f7f8ade7fff4fb6e4392a4d/detection,1.1,d82815b9c57a11199d601f146fb7534134cd28331f7f8ade7fff4fb6e4392a4d,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
GPS Speedometer,,Navigation,,com.guruinfomedia.gps.speedometer,1000000,"Guru Santini, GuruInfoMedia, GuruInfoMedia",https://reports.exodus-privacy.eu.org/en/reports/com.guruinfomedia.gps.speedometer/latest/ ,https://play.google.com/store/apps/details?id=com.guruinfomedia.gps.speedometer,Not Found,11.5,199a04dd70cac237cca05446a4b01f317ef57ddd946888348db99d485410c966,,,,Not Found,2021-01-20,,,,,Opensignal,,,,,,,X-Mode
Amazing Strange Rope Police - Vice Spider Vegas ,,Game,,com.hgamesart.ropeboy,100000,HGames-ArtWorks,https://reports.exodus-privacy.eu.org/en/reports/com.hgamesart.ropeboy/latest/ ,https://play.google.com/store/apps/details?id=com.hgamesart.ropeboy,https://www.virustotal.com/gui/file/096bfbf9742092d77730325a5f0b10ff95b0237c7660c2613a5b650c926faee3/detection,1.3.9,096bfbf9742092d77730325a5f0b10ff95b0237c7660c2613a5b650c926faee3,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
mAadhar Online ,,Government,,com.IndianeAadharOnline,10000,VR One - India ,https://reports.exodus-privacy.eu.org/en/reports/com.IndianeAadharOnline/latest/ ,https://play.google.com/store/apps/details?id=com.IndianeAadharOnline,https://www.virustotal.com/gui/file/f41d8bc884f4a4fa9c27ee75fd8501e3c998336d1572b54fc1b8271365f77857/detection,8.7.3 ,f41d8bc884f4a4fa9c27ee75fd8501e3c998336d1572b54fc1b8271365f77857,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
Liveflix,,TV,,com.ioob.liveflix,100,IndexOutOfBounds,https://reports.exodus-privacy.eu.org/en/reports/com.ioob.liveflix/latest/ ,https://play.google.com/store/apps/details?id=com.ioob.liveflix,https://www.virustotal.com/gui/file/65cea9af2d4d06958e951ea0fcc57780ade6547a2b33c31cd59cd057c4714d80/detection,1.0.0-s ,65cea9af2d4d06958e951ea0fcc57780ade6547a2b33c31cd59cd057c4714d80,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
Jadid24 ,,TV,,com.jadid.com.jadid,1,Jadid24,https://reports.exodus-privacy.eu.org/en/reports/com.jadid.com.jadid/latest/ ,https://play.google.com/store/apps/details?id=com.jadid.com.jadid,https://www.virustotal.com/gui/file/d3f334695ea5e5433ad67af0a27b5217675f554df9adebd5796b3ae05de1eef2/detection,1,d3f334695ea5e5433ad67af0a27b5217675f554df9adebd5796b3ae05de1eef2,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
Caribbean Pirates Compass,,Game,,com.JutsuGames.DesireCompass,,"Bartłomiej Gajewski,  Jutsu Games",https://reports.exodus-privacy.eu.org/en/reports/com.JutsuGames.DesireCompass/latest/ ,https://play.google.com/store/apps/details?id=com.JutsuGames.DesireCompass,Not Found,1.05.19 ,deea0b3a23e78ee1085fa0c32504f6f5f57cb9aab2440ad9ed87003e7b7a9b92,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
Particles Flow - Live Responsive Wallpaper,,Utility,,com.kkinfosis.particalswallpaper,50,"Kundan, Information Technology, KK Infosis",https://reports.exodus-privacy.eu.org/en/reports/com.kkinfosis.particalswallpaper/latest/ ,https://play.google.com/store/apps/details?id=com.kkinfosis.particalswallpaper,https://www.virustotal.com/gui/file/f1312bd555d03fd613ebddfc1addf466e16b9ec16f35fcc6e0baec3629eef534/detection,1,f1312bd555d03fd613ebddfc1addf466e16b9ec16f35fcc6e0baec3629eef534,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
