Name,Name Translation,Category,Genre (Google Play),Handle,Downloads,Developer,Exodus Privacy Report URL,Google Play URL,VirusTotal Report URL,Version (latest available),Checksum (latest available),Developer Email,Developer Website,Developer Privacy Policy,Google Play Status,Last Checked,Exponea (Infinario),Fysical (BeaconsInSpace),GeoUniq (Cloud4Wi),OneAudience,Opensignal,Placed (Foursquare),Predicio,Quadrant,Sense360,SignalFrame (Wireless Registry),Sygic,X-Mode
MyRadar Weather Radar,,Weather,Weather,com.acmeaom.android.myradar,10000000,ACME AtronOmatic LLC,https://reports.exodus-privacy.eu.org/en/reports/com.acmeaom.android.myradar/latest/ ,https://play.google.com/store/apps/details?id=com.acmeaom.android.myradar,https://www.virustotal.com/gui/file/18bf4c3d9b08cbf762760c40983753a465ebde7d1c4b14f4d6291c82a5bab230/detection,8.12.2,18bf4c3d9b08cbf762760c40983753a465ebde7d1c4b14f4d6291c82a5bab230,myradarandroid@myradar.com,http://myradar.com,http://myradar.com/privacy_policy.html,,2021-01-20,,Fysical (BeaconsInSpace),,,,,,,,,,
Stock Trainer: Virtual Trading (Stock Markets),,Finance,Finance,com.alifesoftware.stocktrainer,1000000,"A-Life Software, LLC",https://reports.exodus-privacy.eu.org/en/reports/com.alifesoftware.stocktrainer/latest/ ,https://play.google.com/store/apps/details?id=com.alifesoftware.stocktrainer,https://www.virustotal.com/gui/file/5811cef52d65467f319fa98e7fa11abb9027938c737f9964f3a847d5cd973a18/detection,3.04 - Beta,5811cef52d65467f319fa98e7fa11abb9027938c737f9964f3a847d5cd973a18,alifesoftware@gmail.com,http://alifesoftware.com/,http://alifesoftware.com/privacypolicy.html,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,,,,
Perfect365: One-Tap Makeover,,Photo,Beauty,com.arcsoft.perfect365,50000000,"Perfect365, Inc.",https://reports.exodus-privacy.eu.org/en/reports/com.arcsoft.perfect365/latest/ ,https://play.google.com/store/apps/details?id=com.arcsoft.perfect365,https://www.virustotal.com/gui/file/55b27e63e977f117a023663feb9102b78c5e12e40f56409da7bf83175f0db880/detection,8.41.8,55b27e63e977f117a023663feb9102b78c5e12e40f56409da7bf83175f0db880,android@perfect365.com,http://perfect365.com/,http://www.perfect365.com/about/privacy-policy/,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,Sense360,SignalFrame (Wireless Registry),,X-Mode
Office Jerk Free,,Game,Casual,com.fluik.OfficeJerkFree,10000000,Fluik,https://reports.exodus-privacy.eu.org/en/reports/com.fluik.OfficeJerkFree/latest/ ,https://play.google.com/store/apps/details?id=com.fluik.OfficeJerkFree,https://www.virustotal.com/gui/file/a7a2299452f4e8bdda97c4206af1aefe0f183b48b6ac0c68af05ee4bc1727b44/detection,1.8.28,a7a2299452f4e8bdda97c4206af1aefe0f183b48b6ac0c68af05ee4bc1727b44,androidsupport@fluik.com,http://www.fluik.com,http://fluik.com/privacy.php,,2021-01-20,,Fysical (BeaconsInSpace),,,,,,,,,,
Office Jerk: Holiday Edition,,Game,Arcade,com.fluik.OJHE,1000000,Fluik,https://reports.exodus-privacy.eu.org/en/reports/com.fluik.OJHE/latest/ ,https://play.google.com/store/apps/details?id=com.fluik.OJHE,https://www.virustotal.com/gui/file/5a225b75de42d38c3cd0527c2df32ae4dceb6c74074f25a97456759612783c48/detection,1.8.19,5a225b75de42d38c3cd0527c2df32ae4dceb6c74074f25a97456759612783c48,androidsupport@fluik.com,http://www.fluik.com,http://www.fluik.com/privacy.php,,2021-01-20,,Fysical (BeaconsInSpace),,,,,,,,,,
3D EARTH - accurate weather forecast & rain radar,,Weather,Weather,com.livingearth.free,500000,3D Earth - weather app,https://reports.exodus-privacy.eu.org/en/reports/com.livingearth.free/latest/ ,https://play.google.com/store/apps/details?id=com.livingearth.free,https://www.virustotal.com/gui/file/cb0f503ecae36de25548f6751fd1e58c0795c9897a1ab4617aec8b1ffd0bc3b2/detection,1.1.30,cb0f503ecae36de25548f6751fd1e58c0795c9897a1ab4617aec8b1ffd0bc3b2,support@3dearthapp.com,http://www.3dearthapp.com,http://www.3dearthapp.com/privacy_policy.html,,2021-01-20,,Fysical (BeaconsInSpace),,,,,,,,,,
Aussie Mingle - Australia Dating App & Online Chat,,Dating,Lifestyle,com.mingle.AussieMingle,50000,Mingle Dating Social Network,https://reports.exodus-privacy.eu.org/en/reports/com.mingle.AussieMingle/latest/ ,https://play.google.com/store/apps/details?id=com.mingle.AussieMingle,https://www.virustotal.com/gui/file/5b815876c7ce59f1b50c808cf18cd9c374fd107831a02e3bf52056ce828dab94/detection,6.3.0,5b815876c7ce59f1b50c808cf18cd9c374fd107831a02e3bf52056ce828dab94,support@mingle.com,https://aussie.mingle.com,https://aussie.mingle.com/privacy/,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,,SignalFrame (Wireless Registry),,X-Mode
FEM - Free Lesbian Dating App. Chat & Meet Singles,,Dating,Social,com.mingle.fem,1000000,Mingle Dating Social Network,https://reports.exodus-privacy.eu.org/en/reports/com.mingle.fem/latest/ ,https://play.google.com/store/apps/details?id=com.mingle.fem,https://www.virustotal.com/gui/file/a57ae11cce949b62f75a1ab98eaa77f420390bd6118446e7d64c497cd6656422/detection,5.6.1 ,a57ae11cce949b62f75a1ab98eaa77f420390bd6118446e7d64c497cd6656422,support@mingle.com,https://fem.mingle.com/,https://fem.mingle.com/privacy/,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,,SignalFrame (Wireless Registry),,X-Mode
Latin Mingle- Dating Chat App for Latino Worldwide,,Dating,Lifestyle,com.mingle.LatinMingle,50000,Mingle Dating Social Network,https://reports.exodus-privacy.eu.org/en/reports/com.mingle.LatinMingle/latest/ ,https://play.google.com/store/apps/details?id=com.mingle.LatinMingle,https://www.virustotal.com/gui/file/4070e08596fe5c8db58b09993d061fa913c6c4169b5d4814827d66c2ad75d3fd/detection,6.3.0,4070e08596fe5c8db58b09993d061fa913c6c4169b5d4814827d66c2ad75d3fd,support@mingle.com,https://latin.mingle.com,https://latin.mingle.com/privacy,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,,SignalFrame (Wireless Registry),,X-Mode
MEET MARKET - Gay Dating App. Chat & Date New Guys,,Dating,Lifestyle,com.mingle.meetmarket,100000,Mingle Dating Social Network,https://reports.exodus-privacy.eu.org/en/reports/com.mingle.meetmarket/latest/ ,https://play.google.com/store/apps/details?id=com.mingle.meetmarket,https://www.virustotal.com/gui/file/3915b5284c08037951a14e252909ccd2b351a6f79879def46cbd88c826ebec0a/detection,6.3.0 ,3915b5284c08037951a14e252909ccd2b351a6f79879def46cbd88c826ebec0a,support@mingle.com,https://meetmarket.mingle.com,https://meetmarket.mingle.com/privacy,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,,SignalFrame (Wireless Registry),,X-Mode
Muslim Mingle: Arab & Muslim Dating App & Marriage,,Dating,Social,com.mingle.muslimmingle,100000,Mingle Dating Social Network,https://reports.exodus-privacy.eu.org/en/reports/com.mingle.muslimmingle/latest/ ,https://play.google.com/store/apps/details?id=com.mingle.muslimmingle,https://www.virustotal.com/gui/file/e28fcdda7dd19be2a79f29d512a771e0d5ef9d1084cb3c9524129cdd6107a83f/detection,6.5.0,e28fcdda7dd19be2a79f29d512a771e0d5ef9d1084cb3c9524129cdd6107a83f,support@mingle.com,https://muslim.mingle.com,https://muslim.mingle.com/privacy/,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,,SignalFrame (Wireless Registry),,X-Mode
Turkey Social- Dating Chat App for Turkish Singles,,Dating,Lifestyle,com.mingle.TurkishCupid,500000,Mingle Dating Social Network,https://reports.exodus-privacy.eu.org/en/reports/com.mingle.TurkishCupid/latest/ ,https://play.google.com/store/apps/details?id=com.mingle.TurkishCupid,https://www.virustotal.com/gui/file/be2be212fe407702db069c70e152e32de5a9460048ed692fd38fd2f94c5b9bb5/detection,6.3.0,be2be212fe407702db069c70e152e32de5a9460048ed692fd38fd2f94c5b9bb5,ask@innovatedating.com,https://turkey.innovatedating.com,https://turkey.innovatedating.com/privacy,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,,SignalFrame (Wireless Registry),,X-Mode
RWP Zoo,,Travel,,com.mobileroadie.app_84858,1000,Roger Williams Park Zoo,https://reports.exodus-privacy.eu.org/en/reports/com.mobileroadie.app_84858/latest/ ,https://play.google.com/store/apps/details?id=com.mobileroadie.app_84858,https://www.virustotal.com/gui/file/d6e707095950eb618201ce49350d73b9aec8898cdbb5f488261cc3f626f1fd21/detection,6.23.36,d6e707095950eb618201ce49350d73b9aec8898cdbb5f488261cc3f626f1fd21,,,,Not Found,2021-01-20,,Fysical (BeaconsInSpace),,,,,,,,,,
Pacifica Radio,,Radio,Entertainment,com.mobileroadie.app_pacifica,1000,Pacifica Foundation Radio,https://reports.exodus-privacy.eu.org/en/reports/com.mobileroadie.app_pacifica/latest/ ,https://play.google.com/store/apps/details?id=com.mobileroadie.app_pacifica,Not Found,6.23.31,8b25d288875e3d28d5ca48819ea4588bf6ae6e9834db8cbb6628954fa055c9f4,alilexa310@gmail.com,http://www.kpfk.org,http://mobileroadie.com/privacy,,2021-01-20,,Fysical (BeaconsInSpace),,,,,,,,,,
Correo Electronico ,,Messenger,,com.mobincube.android.sc_15IBZ,,Mobimento Mobile,https://reports.exodus-privacy.eu.org/en/reports/com.mobincube.android.sc_15IBZ/latest/ ,https://play.google.com/store/apps/details?id=com.mobincube.android.sc_15IBZ,https://www.virustotal.com/gui/file/3fb3a6a76c0e3d9a7c2c37f32227ce587ec3e3493b8e5223f8f0aeaa3840ce8e/detection,7.0.0,3fb3a6a76c0e3d9a7c2c37f32227ce587ec3e3493b8e5223f8f0aeaa3840ce8e,,,,Not Found,2021-01-20,,Fysical (BeaconsInSpace),,,,,,,,,,
Manual TAILS BOUM ,,Education,,com.mobincube.manual_tails_boum.sc_3FSL54,,Mobimento Mobile,https://reports.exodus-privacy.eu.org/en/reports/com.mobincube.manual_tails_boum.sc_3FSL54/latest/ ,https://play.google.com/store/apps/details?id=com.mobincube.manual_tails_boum.sc_3FSL54,https://www.virustotal.com/gui/file/6c4d6d7e2806d4cb998ea292be68ed2a8f5bd69e2c10be7f06e1ecc362e007b5/detection,3.0.0,6c4d6d7e2806d4cb998ea292be68ed2a8f5bd69e2c10be7f06e1ecc362e007b5,,,,Not Found,2021-01-20,,Fysical (BeaconsInSpace),,,,,,,,,,
