Name,Name Translation,Category,Genre (Google Play),Handle,Downloads,Developer,Exodus Privacy Report URL,Google Play URL,VirusTotal Report URL,Version (latest available),Checksum (latest available),Developer Email,Developer Website,Developer Privacy Policy,Google Play Status,Last Checked,Exponea (Infinario),Fysical (BeaconsInSpace),GeoUniq (Cloud4Wi),OneAudience,Opensignal,Placed (Foursquare),Predicio,Quadrant,Sense360,SignalFrame (Wireless Registry),Sygic,X-Mode
London Live Bus Times - TfL Buses,,Travel,Maps & Navigation,com.appeffectsuk.bustracker,1000000,AppEffectsUK,https://reports.exodus-privacy.eu.org/en/reports/com.appeffectsuk.bustracker/latest/ ,https://play.google.com/store/apps/details?id=com.appeffectsuk.bustracker,https://www.virustotal.com/gui/file/9e5d364d0bf1bb602e9205a60f82c508328dff60ccc8565e3a4319dd9a4b11bb/detection,3.8.1,9e5d364d0bf1bb602e9205a60f82c508328dff60ccc8565e3a4319dd9a4b11bb,support@appeffects.co.uk,http://www.appeffects.co.uk,http://www.appeffects.co.uk/LondonBus/privacy-policy.html,,2021-01-20,,,GeoUniq (Cloud4Wi),,,,,,,,,
CheckBonus. Gift Card e Coupon,,Shopping,Shopping,com.checkbonus.android,100000,Check Bonus Srl.,https://reports.exodus-privacy.eu.org/en/reports/com.checkbonus.android/latest/ ,https://play.google.com/store/apps/details?id=com.checkbonus.android,Not Found,4.11.1 (1999),50198a7b5065a9c2b7952cd15b6b916a0efdd001ae38c8d95b9f83f75c3613a8,info@checkbonus.it,http://www.checkbonus.it,https://www.checkbonus.it/privacy/,,2021-01-20,,,GeoUniq (Cloud4Wi),,,,,,,,,
"Citygo, covoiturage urbain au quotidien",,Navigation,Maps & Navigation,com.citygoo,500000,Citygo,https://reports.exodus-privacy.eu.org/en/reports/com.citygoo/latest/ ,https://play.google.com/store/apps/details?id=com.citygoo,https://www.virustotal.com/gui/file/4dc8befe0cd0fcffd2d5f2164dc96925378b5b91e378d88638b9f084944e6a63/detection,8.3.2,4dc8befe0cd0fcffd2d5f2164dc96925378b5b91e378d88638b9f084944e6a63,support@citygo.me,https://www.citygo.io,https://www.citygo.io/politique-de-confidentialite-2/,,2021-01-20,,,GeoUniq (Cloud4Wi),,,,,,,,,
FidMe Loyalty Cards & Deals at Grocery Supermarket,,Shopping,Shopping,fr.snapp.fidme,1000000,Snapp',https://reports.exodus-privacy.eu.org/en/reports/fr.snapp.fidme/latest/ ,https://play.google.com/store/apps/details?id=fr.snapp.fidme,Not Found,7.3.2,dc3401b46a3c5a2a5338673a052883c1263999da257bb4391cb86332bfde425a,support@fidme.com,http://www.fidme.com,https://api.core.fidme.com/documents/privacy_policy_en.html,,2021-01-20,,,GeoUniq (Cloud4Wi),,,,,,,,,
GialloZafferano: le Ricette,,Food,Food & Drink,it.banzai.media.gzricette,1000000,Mondadori Media S.p.A.,https://reports.exodus-privacy.eu.org/en/reports/it.banzai.media.gzricette/latest/ ,https://play.google.com/store/apps/details?id=it.banzai.media.gzricette,https://www.virustotal.com/gui/file/f315d8516e14b84e3bcb2b498b8d89b34f131a9ae81e960fa3953860c6bef2ce/detection,4.1.15,f315d8516e14b84e3bcb2b498b8d89b34f131a9ae81e960fa3953860c6bef2ce,app@giallozafferano.it,https://giallozafferano.it,https://mobile.amedigital.it/products/gzricette/app/prod/InformativaPrivacy.pdf,,2021-01-20,,,GeoUniq (Cloud4Wi),,,,,,,,,
Food For Your Blood Type Diet,,Food,Health & Fitness,it.betterdays.dietagrupposanguignoandroid,500000,Better Days srl,https://reports.exodus-privacy.eu.org/en/reports/it.betterdays.dietagrupposanguignoandroid/latest/ ,https://play.google.com/store/apps/details?id=it.betterdays.dietagrupposanguignoandroid ,https://www.virustotal.com/gui/file/4838158a76aaa915daae2356ed8464960e9bbaa26ebd77a8e69a9cffcb51f08b/detection,2.0.13,4838158a76aaa915daae2356ed8464960e9bbaa26ebd77a8e69a9cffcb51f08b,info@betterdays.it,https://betterdays.it,https://betterdays.it/privacy/grupposanguigno.html,,2021-01-20,,,GeoUniq (Cloud4Wi),,,,,,,,,
Fantaclub,,Game,Entertainment,it.fantaclub.mobile.android,100000,3logic MK Srl,https://reports.exodus-privacy.eu.org/en/reports/it.fantaclub.mobile.android/latest/ ,https://play.google.com/store/apps/details?id=it.fantaclub.mobile.android,https://www.virustotal.com/gui/file/10ac9cdd9675e1252fc7629a18b7c5c287f50bd3f5d3dd54e12ef549f358e349/detection,3.3.7,10ac9cdd9675e1252fc7629a18b7c5c287f50bd3f5d3dd54e12ef549f358e349,support-android@3logic.it,http://www.fantaclub.it,http://www.fantaclub.it/privacy.html,,2021-01-20,,,GeoUniq (Cloud4Wi),,,,,,,,,
Tuttocampo - Calcio,,Sports,Sports,it.nicola.calcioveneto,1000000,Tuttomedia SRL,https://reports.exodus-privacy.eu.org/en/reports/it.nicola.calcioveneto/latest/ ,https://play.google.com/store/apps/details?id=it.nicola.calcioveneto,https://www.virustotal.com/gui/file/cec6547f3dc28fe45168fb0a02d3f20032f939b9f2757c65fd13f1a8837cf72a/detection,5.5.1.1,cec6547f3dc28fe45168fb0a02d3f20032f939b9f2757c65fd13f1a8837cf72a,redazione@tuttocampo.it,https://www.tuttocampo.it/informazioni.php,https://www.tuttocampo.it/Web/Docs/PrivacyApp.pdf,,2021-01-20,,,GeoUniq (Cloud4Wi),,,,,,,,,
Footbottom - Non Pro Soccer,,Sports,Sports,it.nicola.footbottomus,100,Tuttomedia SRL,https://reports.exodus-privacy.eu.org/en/reports/it.nicola.footbottomus/latest/ ,https://play.google.com/store/apps/details?id=it.nicola.footbottomus,Not Found,1.0.2,f5f271e5534d6943cd408a4af4341661ccc91b5f1ab1c25c1c18ba10b44aa52b,info@nonprosoccer.com,https://www.nonprosoccer.com,https://www.nonprosoccer.com/Web/Docs/Privacy.pdf,,2021-01-20,,,GeoUniq (Cloud4Wi),,,,,,,,,
Non Pro Football ,,Sports,Sports,it.nicola.nonprofootball,50,Tuttomedia SRL,https://reports.exodus-privacy.eu.org/en/reports/it.nicola.nonprofootball/latest/ ,https://play.google.com/store/apps/details?id=it.nicola.nonprofootball,https://www.virustotal.com/gui/file/1cd9664ed442e5d1bc2837641f081e20cfb4559b7473bd28956efbcc972a94ec/detection,1.0.4,1cd9664ed442e5d1bc2837641f081e20cfb4559b7473bd28956efbcc972a94ec,info@nonprofootball.com,https://www.nonprofootball.com,https://www.nonprofootball.com/Web/Docs/Privacy.pdf,,2021-01-20,,,GeoUniq (Cloud4Wi),,,,,,,,,
