Name,Name Translation,Category,Genre (Google Play),Handle,Downloads,Developer,Exodus Privacy Report URL,Google Play URL,VirusTotal Report URL,Version (latest available),Checksum (latest available),Developer Email,Developer Website,Developer Privacy Policy,Google Play Status,Last Checked,Exponea (Infinario),Fysical (BeaconsInSpace),GeoUniq (Cloud4Wi),OneAudience,Opensignal,Placed (Foursquare),Predicio,Quadrant,Sense360,SignalFrame (Wireless Registry),Sygic,X-Mode
Calculator Vault - Ad free,,Utility,,calculator.vault.com,10000,,https://reports.exodus-privacy.eu.org/en/reports/calculator.vault.com/latest/ ,https://play.google.com/store/apps/details?id=calculator.vault.com,https://www.virustotal.com/gui/file/5f759f722c1e228bf7de5f0c0f6b1cf3fa74eb82754d36ecb112e83fa6309895/detection,1.4,5f759f722c1e228bf7de5f0c0f6b1cf3fa74eb82754d36ecb112e83fa6309895,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
ai.type Free Emoji Keyboard ,,Keyboard,,com.aitype.android,10000000,"Noam Rotem, R&D, A.I.type",https://reports.exodus-privacy.eu.org/en/reports/com.aitype.android/latest/ ,https://play.google.com/store/apps/details?id=com.aitype.android,https://www.virustotal.com/gui/file/bd76a3bb3774b92ea1984cfb0c6e7de8afe89f09b33bfba98f877d0fa4224169/detection,Free-9.5.9.9,bd76a3bb3774b92ea1984cfb0c6e7de8afe89f09b33bfba98f877d0fa4224169,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,SignalFrame (Wireless Registry),,
Stock Trainer: Virtual Trading (Stock Markets),,Finance,Finance,com.alifesoftware.stocktrainer,1000000,"A-Life Software, LLC",https://reports.exodus-privacy.eu.org/en/reports/com.alifesoftware.stocktrainer/latest/ ,https://play.google.com/store/apps/details?id=com.alifesoftware.stocktrainer,https://www.virustotal.com/gui/file/5811cef52d65467f319fa98e7fa11abb9027938c737f9964f3a847d5cd973a18/detection,3.04 - Beta,5811cef52d65467f319fa98e7fa11abb9027938c737f9964f3a847d5cd973a18,alifesoftware@gmail.com,http://alifesoftware.com/,http://alifesoftware.com/privacypolicy.html,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,,,,
Downloader – Kode,,Utility,Tools,com.app.downloadmanager,100000000,Mirmay Limited,https://reports.exodus-privacy.eu.org/en/reports/com.app.downloadmanager/latest/ ,https://play.google.com/store/apps/details?id=com.app.downloadmanager,https://www.virustotal.com/gui/file/586edbab4568f32698e852892f03478cfcc0462837428d1fc42f6901c3275f08/detection,2.5.33 ,586edbab4568f32698e852892f03478cfcc0462837428d1fc42f6901c3275f08,support@kodebrowser.com,https://www.kodebrowser.com,https://www.kodebrowser.com/privacy-policy,,2021-01-20,,,,OneAudience,,,,,,SignalFrame (Wireless Registry),,
"Veganized - Vegan Recipes, Nutrition, Grocery List",,Food,Food & Drink,com.apstem.veganizeit,100000,APSTEM,https://reports.exodus-privacy.eu.org/en/reports/com.apstem.veganizeit/latest/ ,https://play.google.com/store/apps/details?id=com.apstem.veganizeit,https://www.virustotal.com/gui/file/9e9cd28fcf54f1e95475d0262d3112e7e7122c36165fb55959c204d14588358f/detection,4.1.2 ,9e9cd28fcf54f1e95475d0262d3112e7e7122c36165fb55959c204d14588358f,contact@veganizedtheapp.com,http://www.veganizedtheapp.com,https://www.veganizedtheapp.com/privacy_policy_en.html,,2021-01-20,,,,OneAudience,,,,,,,,
Perfect365: One-Tap Makeover,,Photo,Beauty,com.arcsoft.perfect365,50000000,"Perfect365, Inc.",https://reports.exodus-privacy.eu.org/en/reports/com.arcsoft.perfect365/latest/ ,https://play.google.com/store/apps/details?id=com.arcsoft.perfect365,https://www.virustotal.com/gui/file/55b27e63e977f117a023663feb9102b78c5e12e40f56409da7bf83175f0db880/detection,8.41.8,55b27e63e977f117a023663feb9102b78c5e12e40f56409da7bf83175f0db880,android@perfect365.com,http://perfect365.com/,http://www.perfect365.com/about/privacy-policy/,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,Sense360,SignalFrame (Wireless Registry),,X-Mode
Super Pico Player ,,Game,,com.asix.picoplayer,,"Jeffrey Willis, Indie, Asentrix Studios",https://reports.exodus-privacy.eu.org/en/reports/com.asix.picoplayer/latest/ ,https://play.google.com/store/apps/details?id=com.asix.picoplayer,https://www.virustotal.com/gui/file/c985949e1c3c9fd889dbe1df27acbb410da307bcbe74ac37ca4a05d665b454d0/detection,Beta 4,c985949e1c3c9fd889dbe1df27acbb410da307bcbe74ac37ca4a05d665b454d0,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
Rope Frog Ninja Hero - Strange Gangster Vegas,,Game,Action,com.assassingames.ninjafrogrope,50000000,Assassin Games,https://reports.exodus-privacy.eu.org/en/reports/com.assassingames.ninjafrogrope/latest/ ,https://play.google.com/store/apps/details?id=com.assassingames.ninjafrogrope,https://www.virustotal.com/gui/file/88024bb18a2bcb336ff5c6dca0f32c189dea5ffe9c5417b997ef6339ef045c74/detection,1.0.7,88024bb18a2bcb336ff5c6dca0f32c189dea5ffe9c5417b997ef6339ef045c74,hof_developer@yahoo.com,http://assassinsgames.eu,https://docs.google.com/document/d/1W2ybnHwzvNhYAloREWBGknUtkjYx8FWhpZa2r_M2F_w,,2021-01-20,,,,OneAudience,,,,,,,,
English News in Levels,,News,,com.awesometap.ant,100000,News in Levels ,https://reports.exodus-privacy.eu.org/en/reports/com.awesometap.ant/latest/ ,https://play.google.com/store/apps/details?id=com.awesometap.ant,https://www.virustotal.com/gui/file/7258f1879e15b0765245f6543e5217adf5873d4b8c8cd323400b1e2a7d91ebfa/detection,2.10.0,7258f1879e15b0765245f6543e5217adf5873d4b8c8cd323400b1e2a7d91ebfa,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
Dumpster Bin File Recovery. Restore Deleted Videos,,Utility,Tools,com.baloota.dumpster,10000000,Baloota,https://reports.exodus-privacy.eu.org/en/reports/com.baloota.dumpster/latest/ ,https://play.google.com/store/apps/details?id=com.baloota.dumpster,https://www.virustotal.com/gui/file/7b2b8773a81a209ebb677b76dffeaec626379f29e3a82c780dde576c926c6a76/detection,3.5.382.38f89 ,7b2b8773a81a209ebb677b76dffeaec626379f29e3a82c780dde576c926c6a76,support.dumpster@baloota.com,https://www.dumpsterapp.mobi,https://dumpsterapp.mobi/faq/privacy-policy/,,2021-01-20,,,,OneAudience,,,,,,,,
Zorro Browser ,,Browser,,com.bharatbrowser91,100,R Tech Solutions,https://reports.exodus-privacy.eu.org/en/reports/com.bharatbrowser91/latest/ ,https://play.google.com/store/apps/details?id=com.bharatbrowser91,https://www.virustotal.com/gui/file/87738c3d3666ad79081cd432ed2a2e444dba1991c6e61132a66e11d5c7a0022f/detection,2.1,87738c3d3666ad79081cd432ed2a2e444dba1991c6e61132a66e11d5c7a0022f,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,SignalFrame (Wireless Registry),,
حلويات مغربية ,,Religious,,com.bladi4you.halawiyat.maghribia,,,https://reports.exodus-privacy.eu.org/en/reports/com.bladi4you.halawiyat.maghribia/latest/ ,https://play.google.com/store/apps/details?id=com.bladi4you.halawiyat.maghribia,https://www.virustotal.com/gui/file/6b722e12e18cf3d308b6470b3cdad51a3b2ce9d9c00682125081f1907fe9297d/detection,1,6b722e12e18cf3d308b6470b3cdad51a3b2ce9d9c00682125081f1907fe9297d,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
Browser Android ,,Browser,,com.BrowserAndroid,,animeipics@gmail.com,https://reports.exodus-privacy.eu.org/en/reports/com.BrowserAndroid/latest/ ,https://play.google.com/store/apps/details?id=com.BrowserAndroid,https://www.virustotal.com/gui/file/d79ec6b7287165e8e5febb66a72903bca33ce964db5ee5759588f23397ac0715/detection,0.5,d79ec6b7287165e8e5febb66a72903bca33ce964db5ee5759588f23397ac0715,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
ChatterBox ,,Video,,com.chatterbox_by_pk2_,1000,Pavan Kalyan Neerukonda ,https://reports.exodus-privacy.eu.org/en/reports/com.chatterbox_by_pk2/latest/ ,https://play.google.com/store/apps/details?id=com.chatterbox_by_pk2,https://www.virustotal.com/gui/file/50a63da09a3f0b6779d05411f00a76df17631c4eff18db456d094a1587a149e5/detection,2.1,50a63da09a3f0b6779d05411f00a76df17631c4eff18db456d094a1587a149e5,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
My Days - Ovulation Calendar & Period Tracker ™,,Health & Fitness,Health & Fitness,com.chris.mydays,5000000,Christian Albert Mueller.,https://reports.exodus-privacy.eu.org/en/reports/com.chris.mydays/latest/ ,https://play.google.com/store/apps/details?id=com.chris.mydays,https://www.virustotal.com/gui/file/7673fbfd7c3b9ef803eb0a701693fcd6b5b237ad0213bd696b4d689269aa6884/detection,3.2.9 ,7673fbfd7c3b9ef803eb0a701693fcd6b5b237ad0213bd696b4d689269aa6884,email_mds@mydaysx.club,https://blog.mydaysx.club,https://blog.mydaysx.club/privacy-policy/,,2021-01-20,,,,OneAudience,,,,,,,,
GPS Speedometer and Odometer (Mileage Tracker),,Navigation,Auto & Vehicles,com.coolniks.niksgps,1000000,COOL NIKS ✔,https://reports.exodus-privacy.eu.org/en/reports/com.coolniks.niksgps/latest/ ,https://play.google.com/store/apps/details?id=com.coolniks.niksgps,https://www.virustotal.com/gui/file/41da8a9be1ef4f7f21b5417905919e5c4984e106c9e6849f88652981f115f6fd/detection,13.2,41da8a9be1ef4f7f21b5417905919e5c4984e106c9e6849f88652981f115f6fd,TeamCoolNiks@gmail.com,None,https://sites.google.com/site/coolnikscom/,,2021-01-20,,,,OneAudience,,,,,Sense360,,,X-Mode
"FireFly Browser - Fast, Private & Secure ",,Browser,,com.FFBrowser.indiappstudio,1000,IndiApp Studio Inc.,https://reports.exodus-privacy.eu.org/en/reports/com.FFBrowser.indiappstudio/latest/ ,https://play.google.com/store/apps/details?id=com.FFBrowser.indiappstudio,https://www.virustotal.com/gui/file/d7aef999f29cf80c20b116171379a6b81c575dee5665738be808ea1b46123256/detection,1.2,d7aef999f29cf80c20b116171379a6b81c575dee5665738be808ea1b46123256,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,,,
4shared,,Filesharing,,com.forshared,1000000,New IT Solutions,https://reports.exodus-privacy.eu.org/en/reports/com.forshared/latest/ ,https://play.google.com/store/apps/details?id=com.forshared,https://www.virustotal.com/gui/file/90f1a1604379fdb929c75915c6e29e0cb9fc17a6aacfaef52b69a42f106fa53a/detection,3.88.0,90f1a1604379fdb929c75915c6e29e0cb9fc17a6aacfaef52b69a42f106fa53a,,,,Not Found,2021-01-20,,,,OneAudience,Opensignal,,Predicio,,,SignalFrame (Wireless Registry),,X-Mode
Whats The Word,,Game,Puzzle,com.freegamescentre.whatstheword,10,Free Games Centre,https://reports.exodus-privacy.eu.org/en/reports/com.freegamescentre.whatstheword/latest/ ,https://play.google.com/store/apps/details?id=com.freegamescentre.whatstheword,https://www.virustotal.com/gui/file/fcd02806036cc46c6b95468f1ae442b9098cc803e5e2cff70ba8e4988fd5a112/detection,1,fcd02806036cc46c6b95468f1ae442b9098cc803e5e2cff70ba8e4988fd5a112,freegameszone.play@gmail.com,None,https://freegamescentre.000webhostapp.com/Game-privacy-policy.html,,2021-01-20,,,,OneAudience,,,,,,,,
