Name,Name Translation,Category,Genre (Google Play),Handle,Downloads,Developer,Exodus Privacy Report URL,Google Play URL,VirusTotal Report URL,Version (latest available),Checksum (latest available),Developer Email,Developer Website,Developer Privacy Policy,Google Play Status,Last Checked,Exponea (Infinario),Fysical (BeaconsInSpace),GeoUniq (Cloud4Wi),OneAudience,Opensignal,Placed (Foursquare),Predicio,Quadrant,Sense360,SignalFrame (Wireless Registry),Sygic,X-Mode
SMS Message & Call Screening,,Messenger,Communication,call.message.sms,500000,Sappalodapps Development,https://reports.exodus-privacy.eu.org/en/reports/call.message.sms/latest/ ,https://play.google.com/store/apps/details?id=call.message.sms,https://www.virustotal.com/gui/file/262cb6a25594271c70eb12959428f320640fe3e9c27e1ebcf911721129a30fa5/detection,1.0.254,262cb6a25594271c70eb12959428f320640fe3e9c27e1ebcf911721129a30fa5,sappalodapps@gmail.com,https://calldorado.com,https://legal.calldorado.com/privacy-policy/,,2021-01-20,,,,,Opensignal,,,,,,,
AP ,,Entertainment,,com.animeprimeapp.app,,,https://reports.exodus-privacy.eu.org/en/reports/com.animeprimeapp.app/latest/ ,https://play.google.com/store/apps/details?id=com.animeprimeapp.app,https://www.virustotal.com/gui/file/f011b55d84ba7399f483eaa421d293e6711c9a0c0beaa6b3e9d0d4430ef93052/detection,1.9.888,f011b55d84ba7399f483eaa421d293e6711c9a0c0beaa6b3e9d0d4430ef93052,,,,Not Found,2021-01-20,,,,,Opensignal,,,,,,,
Audiosdroid Audio Studio DAW,,Audio,Music & Audio,com.audiosdroid.audiostudio,1000000,Audiosdroid OU,https://reports.exodus-privacy.eu.org/en/reports/com.audiosdroid.audiostudio/latest/ ,https://play.google.com/store/apps/details?id=com.audiosdroid.audiostudio,https://www.virustotal.com/gui/file/b50e74b054e307af97b6ca08003b51e85410a1fcc7e0d34619fef4bf3db2c4bf/detection,1.3.0.4,b50e74b054e307af97b6ca08003b51e85410a1fcc7e0d34619fef4bf3db2c4bf,admin@audiosdroid.com,https://www.audiosdroid.com,https://www.audiosdroid.com/terms,,2021-01-20,,,,,Opensignal,,,,,SignalFrame (Wireless Registry),,X-Mode
Years & Days Calculator,,Utility,Tools,com.audiosdroid.datecalc,5000,Audiosdroid OU,https://reports.exodus-privacy.eu.org/en/reports/com.audiosdroid.datecalc/latest/ ,https://play.google.com/store/apps/details?id=com.audiosdroid.datecalc,https://www.virustotal.com/gui/file/7ae66eb4672a5eabb1a49b2eefb287ece552d81a8a8c0200800e2b1a8a6f9e9b/detection,1.1.1,7ae66eb4672a5eabb1a49b2eefb287ece552d81a8a8c0200800e2b1a8a6f9e9b,admin@audiosdroid.com,https://www.audiosdroid.com,https://www.audiosdroid.com/terms,,2021-01-20,,,,,Opensignal,,,,,SignalFrame (Wireless Registry),,X-Mode
FX Music Karaoke Player,,Audio,Music & Audio,com.audiosdroid.musicplayer,100000,Audiosdroid OU,https://reports.exodus-privacy.eu.org/en/reports/com.audiosdroid.musicplayer/latest/ ,https://play.google.com/store/apps/details?id=com.audiosdroid.musicplayer,https://www.virustotal.com/gui/file/527610999d9801dac751fdd08093ec5000063b9229b9e9640aa0b5f8314b06e9/detection,1.1.9 ,527610999d9801dac751fdd08093ec5000063b9229b9e9640aa0b5f8314b06e9,admin@audiosdroid.com,https://www.audiosdroid.com,https://www.audiosdroid.com/terms,,2021-01-20,,,,,Opensignal,,,,,SignalFrame (Wireless Registry),,X-Mode
Portable ORG Keyboard,,Audio,Music & Audio,com.audiosdroid.portableorg,1000000,Audiosdroid OU,https://reports.exodus-privacy.eu.org/en/reports/com.audiosdroid.portableorg/latest/ ,https://play.google.com/store/apps/details?id=com.audiosdroid.portableorg,Not Found,1.4.0 ,907d948442ccf6d40daa3507574820e637c049a683146e24ceea811c0c49755f,admin@audiosdroid.com,https://www.audiosdroid.com,https://www.audiosdroid.com/terms,,2021-01-20,,,,,Opensignal,,,,,SignalFrame (Wireless Registry),,X-Mode
AutoMate - Car Dashboard: Driving & Navigation,,Navigation,Auto & Vehicles,com.bitspice.automate,1000000,BitSpice,https://reports.exodus-privacy.eu.org/en/reports/com.bitspice.automate/latest/ ,https://play.google.com/store/apps/details?id=com.bitspice.automate,https://www.virustotal.com/gui/file/57df13097adeee4960f2cd133e81dea521b6c306f60ec6d22c8e649ea6077046/detection,2.2.5-minApi21,57df13097adeee4960f2cd133e81dea521b6c306f60ec6d22c8e649ea6077046,support@bitspice.net,https://www.bitspice.net/automate/,http://www.bitspice.net/automate/privacy.html,,2021-01-20,,,,,Opensignal,,,,,,,
EMI Calculator - Loan & Finance Planner,,Finance,Finance,com.finance.loan.emicalculator,1000000,AppAspect Technologies Pvt. Ltd.,https://reports.exodus-privacy.eu.org/en/reports/com.finance.loan.emicalculator/latest/ ,https://play.google.com/store/apps/details?id=com.finance.loan.emicalculator,https://www.virustotal.com/gui/file/01d7571da0355fe0d543949a393602fff5ffa50ed79b6820123a5d394a9a6665/detection,11.3,01d7571da0355fe0d543949a393602fff5ffa50ed79b6820123a5d394a9a6665,info@appaspecttechnologies.com,https://www.appaspect.com,https://www.appaspect.com/apps/emicalculator/privacy.html,,2021-01-20,,,,,Opensignal,,,,,,,
4shared,,Filesharing,,com.forshared,1000000,New IT Solutions,https://reports.exodus-privacy.eu.org/en/reports/com.forshared/latest/ ,https://play.google.com/store/apps/details?id=com.forshared,https://www.virustotal.com/gui/file/90f1a1604379fdb929c75915c6e29e0cb9fc17a6aacfaef52b69a42f106fa53a/detection,3.88.0,90f1a1604379fdb929c75915c6e29e0cb9fc17a6aacfaef52b69a42f106fa53a,,,,Not Found,2021-01-20,,,,OneAudience,Opensignal,,Predicio,,,SignalFrame (Wireless Registry),,X-Mode
GPS Speedometer,,Navigation,,com.guruinfomedia.gps.speedometer,1000000,"Guru Santini, GuruInfoMedia, GuruInfoMedia",https://reports.exodus-privacy.eu.org/en/reports/com.guruinfomedia.gps.speedometer/latest/ ,https://play.google.com/store/apps/details?id=com.guruinfomedia.gps.speedometer,Not Found,11.5,199a04dd70cac237cca05446a4b01f317ef57ddd946888348db99d485410c966,,,,Not Found,2021-01-20,,,,,Opensignal,,,,,,,X-Mode
