Name,Name Translation,Category,Genre (Google Play),Handle,Downloads,Developer,Exodus Privacy Report URL,Google Play URL,VirusTotal Report URL,Version (latest available),Checksum (latest available),Developer Email,Developer Website,Developer Privacy Policy,Google Play Status,Last Checked,Exponea (Infinario),Fysical (BeaconsInSpace),GeoUniq (Cloud4Wi),OneAudience,Opensignal,Placed (Foursquare),Predicio,Quadrant,Sense360,SignalFrame (Wireless Registry),Sygic,X-Mode
Clipboard Sweeper,,Utility,Tools,bs.clipboardsweeper,1000,HIZ LLC,https://reports.exodus-privacy.eu.org/en/reports/bs.clipboardsweeper/latest/ ,https://play.google.com/store/apps/details?id=bs.clipboardsweeper,https://www.virustotal.com/gui/file/94c1bb1a4b772feaa526d499f2e74794b3bce9e40d6521523cccded38d54b888/detection,2.0.7,94c1bb1a4b772feaa526d499f2e74794b3bce9e40d6521523cccded38d54b888,dev@hiz.ch,http://hiz.ch,None,,2021-01-20,,,,,,,Predicio,,,,,
English News in Levels,,News,,com.awesometap.ant,100000,News in Levels ,https://reports.exodus-privacy.eu.org/en/reports/com.awesometap.ant/latest/ ,https://play.google.com/store/apps/details?id=com.awesometap.ant,https://www.virustotal.com/gui/file/7258f1879e15b0765245f6543e5217adf5873d4b8c8cd323400b1e2a7d91ebfa/detection,2.10.0,7258f1879e15b0765245f6543e5217adf5873d4b8c8cd323400b1e2a7d91ebfa,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
حلويات مغربية ,,Religious,,com.bladi4you.halawiyat.maghribia,,,https://reports.exodus-privacy.eu.org/en/reports/com.bladi4you.halawiyat.maghribia/latest/ ,https://play.google.com/store/apps/details?id=com.bladi4you.halawiyat.maghribia,https://www.virustotal.com/gui/file/6b722e12e18cf3d308b6470b3cdad51a3b2ce9d9c00682125081f1907fe9297d/detection,1,6b722e12e18cf3d308b6470b3cdad51a3b2ce9d9c00682125081f1907fe9297d,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
4shared,,Filesharing,,com.forshared,1000000,New IT Solutions,https://reports.exodus-privacy.eu.org/en/reports/com.forshared/latest/ ,https://play.google.com/store/apps/details?id=com.forshared,https://www.virustotal.com/gui/file/90f1a1604379fdb929c75915c6e29e0cb9fc17a6aacfaef52b69a42f106fa53a/detection,3.88.0,90f1a1604379fdb929c75915c6e29e0cb9fc17a6aacfaef52b69a42f106fa53a,,,,Not Found,2021-01-20,,,,OneAudience,Opensignal,,Predicio,,,SignalFrame (Wireless Registry),,X-Mode
Car parts,,Utility,,com.kolupa.avtonub,500000,Tasty studio ,https://reports.exodus-privacy.eu.org/en/reports/com.kolupa.avtonub/latest/ ,https://play.google.com/store/apps/details?id=com.kolupa.avtonub,https://www.virustotal.com/gui/file/e353a45dedcdf99c216cf2ab07c6406f9167460d73b8631447e775b8b815d23d/detection,4.1,e353a45dedcdf99c216cf2ab07c6406f9167460d73b8631447e775b8b815d23d,,,,Not Found,2021-01-20,,,,,,,Predicio,,,,,
Battery Calibration,,Utility,,com.nema.batterycalibration,5000000,"Gergely Marosi, NéMa",https://reports.exodus-privacy.eu.org/en/reports/com.nema.batterycalibration/latest/ ,https://play.google.com/store/apps/details?id=com.nema.batterycalibration,https://www.virustotal.com/gui/file/c8b3a08d0de80fccd2b4785ab214e26565587dc2b0b13c1049f3cc039f9cff6a/detection,3.3,c8b3a08d0de80fccd2b4785ab214e26565587dc2b0b13c1049f3cc039f9cff6a,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,X-Mode
The Client Messenger,,Messenger,,com.SMAPPM,,nickersonbrownstic@yahoo.com,https://reports.exodus-privacy.eu.org/en/reports/com.SMAPPM/latest/ ,https://play.google.com/store/apps/details?id=com.SMAPPM,Not Found,1,617b485a4e19b93fcaa8216a68076ffdc623151a750c64bfcfe72983e88ef92c,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
Suno Messenger : Free calls and Messages,,Messenger,,com.suno.therisingmoon,10,iamtheonetechy@gmail.com,https://reports.exodus-privacy.eu.org/en/reports/com.suno.therisingmoon/latest/ ,https://play.google.com/store/apps/details?id=com.suno.therisingmoon,Not Found,1,ba4bd458a0c09f055fc1661d1cb981f579efa99b760ff1e79d4237d63c0b2f98,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
Apps Maker for Android,,Utility,,com.wAppsMakerforAndroid_7887164,10,kecapp Dev,https://reports.exodus-privacy.eu.org/en/reports/com.wAppsMakerforAndroid_7887164/latest/ ,https://play.google.com/store/apps/details?id=com.wAppsMakerforAndroid_7887164,Not Found,1,1d61f6973db16b9fe97ab86629fbc88387bb24a33da07c1881dad7d76f4bb71f,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
Black Messenger,,Messenger,,com.wBlackMessenger_5546156,100000,modernapps.in@gmail.com,https://reports.exodus-privacy.eu.org/en/reports/com.wBlackMessenger_5546156/latest/ ,https://play.google.com/store/apps/details?id=com.wBlackMessenger_5546156,https://www.virustotal.com/gui/file/220ac54172b3198b5e19eb448c592d052851c0382d26e7e6eba600ba9c89caca/detection,3,220ac54172b3198b5e19eb448c592d052851c0382d26e7e6eba600ba9c89caca,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
Chatty Messenger,,Messenger,,com.wChattyMessenger_7921491,10,destroyersapp@gmail.com,https://reports.exodus-privacy.eu.org/en/reports/com.wChattyMessenger_7921491/latest/ ,https://play.google.com/store/apps/details?id=com.wChattyMessenger_7921491,Not Found,1,f6d63acbbea6a30cfa335a0124cc61270b44ded560353b1b4839aac2136622bb,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
Qanon,,Social,,com.wdanon_8222042,50,Toys Games ,https://reports.exodus-privacy.eu.org/en/reports/com.wdanon_8222042/latest/ ,https://play.google.com/store/apps/details?id=com.wdanon_8222042,Not Found,3,0fbac510becb1336805fd47b21856d74fe21ed39be09ae771497f2f47e3a72d7,,,,Not Found,2021-01-20,,,,OneAudience,,,Predicio,,,,,
