Name,Name Translation,Category,Genre (Google Play),Handle,Downloads,Developer,Exodus Privacy Report URL,Google Play URL,VirusTotal Report URL,Version (latest available),Checksum (latest available),Developer Email,Developer Website,Developer Privacy Policy,Google Play Status,Last Checked,Exponea (Infinario),Fysical (BeaconsInSpace),GeoUniq (Cloud4Wi),OneAudience,Opensignal,Placed (Foursquare),Predicio,Quadrant,Sense360,SignalFrame (Wireless Registry),Sygic,X-Mode
Wheres My Droid,,Utility,Tools,com.alienmanfc6.wheresmyandroid,10000000,Alienman Technologies LLC,https://reports.exodus-privacy.eu.org/en/reports/com.alienmanfc6.wheresmyandroid/latest/ ,https://play.google.com/store/apps/details?id=com.alienmanfc6.wheresmyandroid,https://www.virustotal.com/gui/file/9c022562bda411152dd8521a762a0754fe5c6dbb4f2c3d4f2c64c53aa36fcc2f/detection,6.6.5,9c022562bda411152dd8521a762a0754fe5c6dbb4f2c3d4f2c64c53aa36fcc2f,support@wheresmydroid.com,http://wheresmydroid.com,http://wheresmydroid.com/privacy.html,,2021-01-20,,,,,,,,,Sense360,SignalFrame (Wireless Registry),,X-Mode
Alarm Clock for Me free,,Utility,Productivity,com.apalon.myclockfree,50000000,Apalon Apps,https://reports.exodus-privacy.eu.org/en/reports/com.apalon.myclockfree/latest/ ,https://play.google.com/store/apps/details?id=com.apalon.myclockfree,Not Found,2.69.0,ff4d89e4ac200dfd671b65879aac5f731e0fbf9147b206596dcd00060f40146d,support@apalon.com,http://www.apalon.com/my_alarm_clock_android.html,http://www.apalon.com/privacy_policy.html,,2021-01-20,,,,,,,,,Sense360,,,
Weather Live,,Weather,Weather,com.apalon.weatherlive.free,10000000,Apalon Apps,https://reports.exodus-privacy.eu.org/en/reports/com.apalon.weatherlive.free/latest/ ,https://play.google.com/store/apps/details?id=com.apalon.weatherlive.free,https://www.virustotal.com/gui/file/9964a54be10b92ad7d6cf3b41c31051d87cca78527e3acc4d1dd1746cab7b21f/detection,6.40.0,9964a54be10b92ad7d6cf3b41c31051d87cca78527e3acc4d1dd1746cab7b21f,support@apalon.com,http://www.apalon.com/weather_live_android.html,http://www.apalon.com/privacy_policy.html,,2021-01-20,,,,,,,,,Sense360,,,
NOAA Weather Radar Live & Alerts,,Weather,Weather,com.apalon.weatherradar.free,10000000,Weather or Not Apps,https://reports.exodus-privacy.eu.org/en/reports/com.apalon.weatherradar.free/latest/ ,https://play.google.com/store/apps/details?id=com.apalon.weatherradar.free,https://www.virustotal.com/gui/file/57dc18b05ba3034ad0ab40c320ffb591667fff3103a399933e1fdd8908b0bf5e/detection,1.38.1,57dc18b05ba3034ad0ab40c320ffb591667fff3103a399933e1fdd8908b0bf5e,support@weatherornotapps.com,https://weatherornotapps.com/,http://www.apalon.com/privacy_policy.html,,2021-01-20,,,,,,,,,Sense360,,,
Perfect365: One-Tap Makeover,,Photo,Beauty,com.arcsoft.perfect365,50000000,"Perfect365, Inc.",https://reports.exodus-privacy.eu.org/en/reports/com.arcsoft.perfect365/latest/ ,https://play.google.com/store/apps/details?id=com.arcsoft.perfect365,https://www.virustotal.com/gui/file/55b27e63e977f117a023663feb9102b78c5e12e40f56409da7bf83175f0db880/detection,8.41.8,55b27e63e977f117a023663feb9102b78c5e12e40f56409da7bf83175f0db880,android@perfect365.com,http://perfect365.com/,http://www.perfect365.com/about/privacy-policy/,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,Sense360,SignalFrame (Wireless Registry),,X-Mode
ShopSavvy - Barcode Scanner & QR Code Reader,,Shopping,Shopping,com.biggu.shopsavvy,10000000,"ShopSavvy, Inc.",https://reports.exodus-privacy.eu.org/en/reports/com.biggu.shopsavvy/latest/ ,https://play.google.com/store/apps/details?id=com.biggu.shopsavvy,https://www.virustotal.com/gui/file/626180dd671fee06d5b0465a2259e44948ce12ef3acb8dfa6c85a6a1cfa7fb69/detection,15.5.8,626180dd671fee06d5b0465a2259e44948ce12ef3acb8dfa6c85a6a1cfa7fb69,support@shopsavvy.com,https://shopsavvy.com,https://shopsavvy.com/privacy/,,2021-01-20,,,,,,,,,Sense360,,,X-Mode
TripLog Mileage Tracker & Expense Log,,Travel,Finance,com.bizlog.triplog,100000,"TripLog, Inc.",https://reports.exodus-privacy.eu.org/en/reports/com.bizlog.triplog/latest/ ,https://play.google.com/store/apps/details?id=com.bizlog.triplog,Not Found,3.6.1,914d5bba6f1c9a5c3914e1fb239b202a22ccc3669fa8564b9d1218622555a8af,support@bizlog.com,https://triplogmileage.com/mileage-tracking-app/,https://TripLogMileage.com/privacy-policy/,,2021-01-20,,,,,,,,,Sense360,,,
Couch to 10K Running Trainer,,Health & Fitness,Health & Fitness,com.c10kforpink,500000,Zen Labs Fitness,https://reports.exodus-privacy.eu.org/en/reports/com.c10kforpink/latest/ ,https://play.google.com/store/apps/details?id=com.c10kforpink,https://www.virustotal.com/gui/file/cd14a9fc1410aeef7fdc77f279310f36d5c9d0c03583e78abf58adb0159d30cb/detection,116.57,cd14a9fc1410aeef7fdc77f279310f36d5c9d0c03583e78abf58adb0159d30cb,contactus@zenlabsllc.com,http://www.zenlabsfitness.com,http://www.zenlabsfitness.com/privacy-policy/,,2021-01-20,,,,,,Placed,,,Sense360,,,X-Mode
C25K® - 5K Running Trainer,,Health & Fitness,Health & Fitness,com.c25k,1000000,Zen Labs Fitness,https://reports.exodus-privacy.eu.org/en/reports/com.c25k/latest/ ,https://play.google.com/store/apps/details?id=com.c25k,https://www.virustotal.com/gui/file/361dea3ad96ae8c11eb28a06214a0ad539f40536617f6f351f42f6e208490f77/detection,143.6,361dea3ad96ae8c11eb28a06214a0ad539f40536617f6f351f42f6e208490f77,contactus@zenlabsfitness.com,http://www.c25kfree.com,http://www.zenlabsfitness.com/privacy-policy/,,2021-01-20,,,,,,Placed,,,Sense360,,,X-Mode
Out of Milk - Grocery Shopping List,,Shopping,Shopping,com.capigami.outofmilk,5000000,Out of Milk,https://reports.exodus-privacy.eu.org/en/reports/com.capigami.outofmilk/latest/ ,https://play.google.com/store/apps/details?id=com.capigami.outofmilk,https://www.virustotal.com/gui/file/43d6587c203bd91dbed3407224240b4b0ae4ef23419069f8045fd0a1b7a98556/detection,8.12.9_929,43d6587c203bd91dbed3407224240b4b0ae4ef23419069f8045fd0a1b7a98556,support@outofmilk.zendesk.com,http://support.outofmilk.com/,http://www.outofmilk.com/Privacy.aspx,,2021-01-20,,,,,,,,,Sense360,,,
