Name,Name Translation,Category,Genre (Google Play),Handle,Downloads,Developer,Exodus Privacy Report URL,Google Play URL,VirusTotal Report URL,Version (latest available),Checksum (latest available),Developer Email,Developer Website,Developer Privacy Policy,Google Play Status,Last Checked,Exponea (Infinario),Fysical (BeaconsInSpace),GeoUniq (Cloud4Wi),OneAudience,Opensignal,Placed (Foursquare),Predicio,Quadrant,Sense360,SignalFrame (Wireless Registry),Sygic,X-Mode
ai.type Free Emoji Keyboard ,,Keyboard,,com.aitype.android,10000000,"Noam Rotem, R&D, A.I.type",https://reports.exodus-privacy.eu.org/en/reports/com.aitype.android/latest/ ,https://play.google.com/store/apps/details?id=com.aitype.android,https://www.virustotal.com/gui/file/bd76a3bb3774b92ea1984cfb0c6e7de8afe89f09b33bfba98f877d0fa4224169/detection,Free-9.5.9.9,bd76a3bb3774b92ea1984cfb0c6e7de8afe89f09b33bfba98f877d0fa4224169,,,,Not Found,2021-01-20,,,,OneAudience,,,,,,SignalFrame (Wireless Registry),,
Wheres My Droid,,Utility,Tools,com.alienmanfc6.wheresmyandroid,10000000,Alienman Technologies LLC,https://reports.exodus-privacy.eu.org/en/reports/com.alienmanfc6.wheresmyandroid/latest/ ,https://play.google.com/store/apps/details?id=com.alienmanfc6.wheresmyandroid,https://www.virustotal.com/gui/file/9c022562bda411152dd8521a762a0754fe5c6dbb4f2c3d4f2c64c53aa36fcc2f/detection,6.6.5,9c022562bda411152dd8521a762a0754fe5c6dbb4f2c3d4f2c64c53aa36fcc2f,support@wheresmydroid.com,http://wheresmydroid.com,http://wheresmydroid.com/privacy.html,,2021-01-20,,,,,,,,,Sense360,SignalFrame (Wireless Registry),,X-Mode
Downloader – Kode,,Utility,Tools,com.app.downloadmanager,100000000,Mirmay Limited,https://reports.exodus-privacy.eu.org/en/reports/com.app.downloadmanager/latest/ ,https://play.google.com/store/apps/details?id=com.app.downloadmanager,https://www.virustotal.com/gui/file/586edbab4568f32698e852892f03478cfcc0462837428d1fc42f6901c3275f08/detection,2.5.33 ,586edbab4568f32698e852892f03478cfcc0462837428d1fc42f6901c3275f08,support@kodebrowser.com,https://www.kodebrowser.com,https://www.kodebrowser.com/privacy-policy,,2021-01-20,,,,OneAudience,,,,,,SignalFrame (Wireless Registry),,
Perfect365: One-Tap Makeover,,Photo,Beauty,com.arcsoft.perfect365,50000000,"Perfect365, Inc.",https://reports.exodus-privacy.eu.org/en/reports/com.arcsoft.perfect365/latest/ ,https://play.google.com/store/apps/details?id=com.arcsoft.perfect365,https://www.virustotal.com/gui/file/55b27e63e977f117a023663feb9102b78c5e12e40f56409da7bf83175f0db880/detection,8.41.8,55b27e63e977f117a023663feb9102b78c5e12e40f56409da7bf83175f0db880,android@perfect365.com,http://perfect365.com/,http://www.perfect365.com/about/privacy-policy/,,2021-01-20,,Fysical (BeaconsInSpace),,OneAudience,,,,,Sense360,SignalFrame (Wireless Registry),,X-Mode
Arranger Keyboard ,,Audio,Music & Audio,com.audiosdroid.arrangerkeyboard,500000,Audiosdroid OU,https://reports.exodus-privacy.eu.org/en/reports/com.audiosdroid.arrangerkeyboard/latest/ ,https://play.google.com/store/apps/details?id=com.audiosdroid.arrangerkeyboard,https://www.virustotal.com/gui/file/aef32900db6a86b8c43c31b9f0afd31f761c8ba11bd82325c03a9601416a7633/detection,2.1.0,aef32900db6a86b8c43c31b9f0afd31f761c8ba11bd82325c03a9601416a7633,admin@audiosdroid.com,https://www.audiosdroid.com,https://www.audiosdroid.com/terms,,2021-01-20,,,,,,,,,,SignalFrame (Wireless Registry),,X-Mode
Audiosdroid Audio Studio DAW,,Audio,Music & Audio,com.audiosdroid.audiostudio,1000000,Audiosdroid OU,https://reports.exodus-privacy.eu.org/en/reports/com.audiosdroid.audiostudio/latest/ ,https://play.google.com/store/apps/details?id=com.audiosdroid.audiostudio,https://www.virustotal.com/gui/file/b50e74b054e307af97b6ca08003b51e85410a1fcc7e0d34619fef4bf3db2c4bf/detection,1.3.0.4,b50e74b054e307af97b6ca08003b51e85410a1fcc7e0d34619fef4bf3db2c4bf,admin@audiosdroid.com,https://www.audiosdroid.com,https://www.audiosdroid.com/terms,,2021-01-20,,,,,Opensignal,,,,,SignalFrame (Wireless Registry),,X-Mode
Years & Days Calculator,,Utility,Tools,com.audiosdroid.datecalc,5000,Audiosdroid OU,https://reports.exodus-privacy.eu.org/en/reports/com.audiosdroid.datecalc/latest/ ,https://play.google.com/store/apps/details?id=com.audiosdroid.datecalc,https://www.virustotal.com/gui/file/7ae66eb4672a5eabb1a49b2eefb287ece552d81a8a8c0200800e2b1a8a6f9e9b/detection,1.1.1,7ae66eb4672a5eabb1a49b2eefb287ece552d81a8a8c0200800e2b1a8a6f9e9b,admin@audiosdroid.com,https://www.audiosdroid.com,https://www.audiosdroid.com/terms,,2021-01-20,,,,,Opensignal,,,,,SignalFrame (Wireless Registry),,X-Mode
FX Music Karaoke Player,,Audio,Music & Audio,com.audiosdroid.musicplayer,100000,Audiosdroid OU,https://reports.exodus-privacy.eu.org/en/reports/com.audiosdroid.musicplayer/latest/ ,https://play.google.com/store/apps/details?id=com.audiosdroid.musicplayer,https://www.virustotal.com/gui/file/527610999d9801dac751fdd08093ec5000063b9229b9e9640aa0b5f8314b06e9/detection,1.1.9 ,527610999d9801dac751fdd08093ec5000063b9229b9e9640aa0b5f8314b06e9,admin@audiosdroid.com,https://www.audiosdroid.com,https://www.audiosdroid.com/terms,,2021-01-20,,,,,Opensignal,,,,,SignalFrame (Wireless Registry),,X-Mode
Portable ORG Keyboard,,Audio,Music & Audio,com.audiosdroid.portableorg,1000000,Audiosdroid OU,https://reports.exodus-privacy.eu.org/en/reports/com.audiosdroid.portableorg/latest/ ,https://play.google.com/store/apps/details?id=com.audiosdroid.portableorg,Not Found,1.4.0 ,907d948442ccf6d40daa3507574820e637c049a683146e24ceea811c0c49755f,admin@audiosdroid.com,https://www.audiosdroid.com,https://www.audiosdroid.com/terms,,2021-01-20,,,,,Opensignal,,,,,SignalFrame (Wireless Registry),,X-Mode
Soundfont Piano,,Audio,Music & Audio,com.audiosdroid.soundfontpiano,5000,Audiosdroid OU,https://reports.exodus-privacy.eu.org/en/reports/com.audiosdroid.soundfontpiano/latest/ ,https://play.google.com/store/apps/details?id=com.audiosdroid.soundfontpiano,Not Found,1.0.1,d568eda60f5b5bd5e58ad00c71ff933268649390a72448d3a303d243006ce766,admin@audiosdroid.com,https://www.audiosdroid.com,https://xmode.io/privacy/,,2021-01-20,,,,,,,,,,SignalFrame (Wireless Registry),,X-Mode
