Name,Name Translation,Category,Genre (Google Play),Handle,Downloads,Developer,Exodus Privacy Report URL,Google Play URL,VirusTotal Report URL,Version (latest available),Checksum (latest available),Developer Email,Developer Website,Developer Privacy Policy,Google Play Status,Last Checked,Exponea (Infinario),Fysical (BeaconsInSpace),GeoUniq (Cloud4Wi),OneAudience,Opensignal,Placed (Foursquare),Predicio,Quadrant,Sense360,SignalFrame (WirelessRegistry),Sygic,X-Mode
Cittamobi - Rotas & Horários de ônibus,,Travel,Maps & Navigation,br.com.cittabus,5000000,CittaMobi,https://reports.exodus-privacy.eu.org/en/reports/br.com.cittabus/latest/ ,https://play.google.com/store/apps/details?id=br.com.cittabus,https://www.virustotal.com/gui/file/ef5b73914bd5c599e979807d38f609ec5b01013c2fb9e3a943710ed7325bd330/detection,6.22.19,ef5b73914bd5c599e979807d38f609ec5b01013c2fb9e3a943710ed7325bd330,contato@cittamobi.com.br,http://www.cittamobi.com.br,https://www.cittamobi.com.br/home/politica-privacidade/,,2021-01-20,,,,,,,,,,,,X-Mode
Wheres My Droid,,Utility,Tools,com.alienmanfc6.wheresmyandroid,10000000,Alienman Technologies LLC,https://reports.exodus-privacy.eu.org/en/reports/com.alienmanfc6.wheresmyandroid/latest/ ,https://play.google.com/store/apps/details?id=com.alienmanfc6.wheresmyandroid,https://www.virustotal.com/gui/file/9c022562bda411152dd8521a762a0754fe5c6dbb4f2c3d4f2c64c53aa36fcc2f/detection,6.6.5,9c022562bda411152dd8521a762a0754fe5c6dbb4f2c3d4f2c64c53aa36fcc2f,support@wheresmydroid.com,http://wheresmydroid.com,http://wheresmydroid.com/privacy.html,,2021-01-20,,,,,,,,,Sense360,SignalFrame (WirelessRegistry),,X-Mode
myTuner Radio and Podcasts,,Radio,Music & Audio,com.appgeneration.itunerfree,10000000,"Appgeneration - Radio, Podcasts, Games",https://reports.exodus-privacy.eu.org/en/reports/com.appgeneration.itunerfree/latest/ ,https://play.google.com/store/apps/details?id=com.appgeneration.itunerfree,https://www.virustotal.com/gui/file/6f162a6dfb83a969ffd40960a6ac455d3d6ee1843f56bb5f0ffab0733c2f1e6e/detection,8.0.16 ,6f162a6dfb83a969ffd40960a6ac455d3d6ee1843f56bb5f0ffab0733c2f1e6e,help@mytuner.mobi,https://mytuner-radio.com,https://mytuner-radio.com/privacy-policy/,,2021-01-20,,,,,,,,,,,,X-Mode
PowerVocab Word Game ,,Game,,com.applimobile.powervocab,10000,Xomian technologies LLC,https://reports.exodus-privacy.eu.org/en/reports/com.applimobile.powervocab/latest/ ,https://play.google.com/store/apps/details?id=com.applimobile.powervocab,https://www.virustotal.com/gui/file/06d9684376f166c7c1299a873611547cc7ee60eb0aab20f180c33528ac535fa9/detection,1.0.2,06d9684376f166c7c1299a873611547cc7ee60eb0aab20f180c33528ac535fa9,,,,Not Found,2021-01-20,,,,,,,,,,,,X-Mode
راديو العرب ,Radio Arabic,Radio,Music & Audio,com.appmind.radios.arabic,100000,"AppMind - Radio FM, Radio Online, Music and News",https://reports.exodus-privacy.eu.org/en/reports/com.appmind.radios.arabic/latest/ ,https://play.google.com/store/apps/details?id=com.appmind.radios.arabic,https://www.virustotal.com/gui/file/58dde398ab0360eb12775fb58ef5ac3ba7e08ab47094fb1f425ddeb4a8319b40/detection,2.3.42,58dde398ab0360eb12775fb58ef5ac3ba7e08ab47094fb1f425ddeb4a8319b40,eduardo.carqueja@icloud.com,http://www.app-mind.com/,http://www.app-mind.com/privacy-policy/,,2021-01-20,,,,,,,,,,,,X-Mode
"Radio Austria: Online Radio, FM Radio",,Radio,Music & Audio,com.appmind.radios.at,100000,"AppMind - Radio FM, Radio Online, Music and News",https://reports.exodus-privacy.eu.org/en/reports/com.appmind.radios.at/latest/ ,https://play.google.com/store/apps/details?id=com.appmind.radios.at,https://www.virustotal.com/gui/file/175d733bb906d8f32ea9586c38c5b23d4ecadfe259c533e649d3f86a28c2a55d/detection,2.3.63,175d733bb906d8f32ea9586c38c5b23d4ecadfe259c533e649d3f86a28c2a55d,eduardo.carqueja@icloud.com,http://www.radio-osterreich.at,http://www.app-mind.com/privacy-policy/,,2021-01-20,,,,,,,,,,,,X-Mode
Radio Australia: Online Radio & FM Radio App,,Radio,Music & Audio,com.appmind.radios.au,100000,"AppMind - Radio FM, Radio Online, Music and News",https://reports.exodus-privacy.eu.org/en/reports/com.appmind.radios.au/latest/ ,https://play.google.com/store/apps/details?id=com.appmind.radios.au,https://www.virustotal.com/gui/file/315e168e327fe627deab4be6a43f78510c7ae97626fa36778f44782eb3189c06/detection,2.3.62,315e168e327fe627deab4be6a43f78510c7ae97626fa36778f44782eb3189c06,appmind.technologies@gmail.com,http://www.radio-australia.org,http://www.app-mind.com/privacy-policy/,,2021-01-20,,,,,,,,,,,,X-Mode
Radio Belgium: FM Radio and Internet Radio,,Radio,Music & Audio,com.appmind.radios.be,100000,"AppMind - Radio FM, Radio Online, Music and News",https://reports.exodus-privacy.eu.org/en/reports/com.appmind.radios.be/latest/ ,https://play.google.com/store/apps/details?id=com.appmind.radios.be,https://www.virustotal.com/gui/file/d80b19b7e7c8ef5e8f395b6efa701bba49c35e2db638bf5d46beebaac422cdcf/detection,2.3.62,d80b19b7e7c8ef5e8f395b6efa701bba49c35e2db638bf5d46beebaac422cdcf,eduardo.carqueja@icloud.com,http://www.radio-belgie.be,http://www.app-mind.com/privacy-policy/,,2021-01-20,,,,,,,,,,,,X-Mode
"Radio Brazil - Internet Radio, FM Radio, AM Radio",,Radio,Music & Audio,com.appmind.radios.br,1000000,"AppMind - Radio FM, Radio Online, Music and News",https://reports.exodus-privacy.eu.org/en/reports/com.appmind.radios.br/latest/ ,https://play.google.com/store/apps/details?id=com.appmind.radios.br,https://www.virustotal.com/gui/file/f9b190fad98081a9d8041cd7c7ebbc7859185af955f4d23fbb72c1b2af09b22c/detection,2.3.42,f9b190fad98081a9d8041cd7c7ebbc7859185af955f4d23fbb72c1b2af09b22c,eduardo.carqueja@icloud.com,http://www.radio-ao-vivo.com,http://www.app-mind.com/privacy-policy/,,2021-01-20,,,,,,,,,,,,X-Mode
Radio Canada - Internet Radio App,,Radio,Music & Audio,com.appmind.radios.ca,100000,"AppMind - Radio FM, Radio Online, Music and News",https://reports.exodus-privacy.eu.org/en/reports/com.appmind.radios.ca/latest/ ,https://play.google.com/store/apps/details?id=com.appmind.radios.ca,https://www.virustotal.com/gui/file/a4c5208c4323a59041c1354e210cb6a414d72830bba3ac4962a80e278d080f9c/detection,2.3.62 ,a4c5208c4323a59041c1354e210cb6a414d72830bba3ac4962a80e278d080f9c,eduardo.carqueja@icloud.com,http://www.radio-canada-online.com,http://www.app-mind.com/privacy-policy/,,2021-01-20,,,,,,,,,,,,X-Mode
